RestaurantID,RestaurantName,CountryCode,City,Address,Locality,LocalityVerbose,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating
6309903,Silantro Fil-Mex,162,Pasig City,75 East Capitol Drive| Kapitolyo| Pasig City,Kapitolyo,Kapitolyo| Pasig City,Filipino| Mexican,Botswana Pula(P),No,No,No,No,3,1070,800,4.9
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,23 East Capitol Drive| Kapitolyo| Pasig City,Kapitolyo,Kapitolyo| Pasig City,American| Ice Cream| Desserts,Botswana Pula(P),Yes,No,No,No,3,488,900,4.2
6318433,Silantro Fil-Mex,162,Quezon City,Second Floor| UP Town Center| Katipunan Avenue| Diliman| Quezon City,UP Town Center| Diliman| Quezon City,UP Town Center| Diliman| Quezon City| Quezon City,Filipino| Mexican,Botswana Pula(P),No,No,No,No,3,294,800,4.8
6310470,Guevarra's,162,San Juan City,387 P. Guevarra Corner Argonne Street| Addition Hills| San Juan City,Addition Hills,Addition Hills| San Juan City,Filipino,Botswana Pula(P),Yes,No,No,No,3,458,1000,4.2
6314605,Sodam Korean Restaurant,162,San Juan City,17 J. Abad Santos Drive| Little Baguio| San Juan City,Little Baguio,Little Baguio| San Juan City,Korean,Botswana Pula(P),No,No,No,No,3,223,700,4.3
18185059,Cafe Arabelle,162,Santa Rosa,Ayala Mall| Solenad| Nuvali| Santa Rosa - Tagaytay Road| Don Jose| Santa Rosa,Nuvali| Don Jose| Santa Rosa,Nuvali| Don Jose| Santa Rosa| Santa Rosa,Cafe| American| Italian| Filipino,Botswana Pula(P),No,No,No,No,3,29,800,3.6
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,Ground Floor| Building G| Solenad 3| Nuvali| Don Jose| Santa Rosa,Solenad 3| Don Jose| Santa Rosa,Solenad 3| Don Jose| Santa Rosa| Santa Rosa,Italian| Pizza,Botswana Pula(P),No,No,No,No,3,72,850,4
6318213,Balay Dako,162,Tagaytay City,Aguinaldo Highway| Tagaytay City,Tagaytay City,Tagaytay City| Tagaytay City,Filipino,Botswana Pula(P),Yes,No,No,No,3,211,1200,4.5
18255654,Hobing Korean Dessert Cafe,162,Taguig City,Third Floor| BGC Stopover Pavillion| Rizal Drive Corner 31st Street| Bonifacio Global City| Taguig City,BGC Stopover Pavillion| Bonifacio Global City,BGC Stopover Pavillion| Bonifacio Global City| Taguig City,Cafe| Korean| Desserts,Botswana Pula(P),No,No,No,No,2,118,600,4.5
6308205,Wildflour Cafe + Bakery,162,Taguig City,Ground Floor| Netlima Building| 4th Avenue Corner 26th Street| Bonifacio Global City| Taguig City,Bonifacio Global City,Bonifacio Global City| Taguig City,Cafe| Bakery| American| Italian,Botswana Pula(P),Yes,No,No,No,4,392,1500,4.4
6315438,NIU by Vikings,162,Taguig City,Sixth Floor| SM Aura Premier| C5 Road Corner 26th Street| Bonifacio Global City| Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City| Taguig City,Seafood| American| Mediterranean| Japanese,Botswana Pula(P),Yes,No,No,No,4,535,3000,4.7
6310406,The Food Hall by Todd English,162,Taguig City,Fifth Floor| SM Aura Premier| C5 Corner 26th Street| Bonifacio Global City| Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City,SM Aura Premier| Bonifacio Global City| Taguig City| Taguig City,American| Asian| Italian| Seafood,Botswana Pula(P),Yes,No,No,No,4,618,1800,4.5
6600681,Chez Michou,30,Bras?lia,SCLN| 208| Bloco A| Loja 30| Asa Norte| Bras?lia,Asa Norte,Asa Norte| Bras?lia,Fast Food| French,Brazilian Real(R$),No,No,No,No,2,6,55,3
6601005,Caf? Daniel Briand,30,Bras?lia,SCLN 104| Bloco A| Loja 26| Asa Norte| Bras?lia,Asa Norte,Asa Norte| Bras?lia,Cafe,Brazilian Real(R$),No,No,No,No,1,9,30,3.8
6600292,Casa do Biscoito Mineiro,30,Bras?lia,SCLN 210| Bloco D| Loja 36/48| Asa Norte| Bras?lia,Asa Norte,Asa Norte| Bras?lia,Bakery,Brazilian Real(R$),No,No,No,No,2,11,45,3.7
6600441,Maori,30,Bras?lia,CLN 110| Bloco D| Loja 28| Asa Norte| Bras?lia,Asa Norte,Asa Norte| Bras?lia,Brazilian,Brazilian Real(R$),No,No,No,No,3,11,60,3.8
6600970,Pizza ? Bessa,30,Bras?lia,SCS 214| Bloco C| Loja 40| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Pizza,Brazilian Real(R$),No,No,No,No,2,11,50,3.2
6600379,Sushi Loko,30,Bras?lia,SCS 213| Bloco C| Loja 35| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Japanese,Brazilian Real(R$),No,No,No,No,3,10,80,3.1
6600214,Beirute,30,Bras?lia,CLS 109| Bloco A| Loja 2/6| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Arabian,Brazilian Real(R$),No,No,No,No,3,8,90,3.7
6601218,New Koto,30,Bras?lia,SCS 212| Bloco B| Loja 26| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Japanese,Brazilian Real(R$),No,No,No,No,4,5,200,3.7
6600060,Sandubas Caf?,30,Bras?lia,Edif?cio Jos? Severo| SCS 6| Bloco A| Loja 99| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Brazilian| Cafe,Brazilian Real(R$),No,No,No,No,1,2,30,1
6600083,Villa Tevere,30,Bras?lia,CLS 115| Bloco A| Loja 2| Asa Sul| Bras?lia,Asa Sul,Asa Sul| Bras?lia,Italian,Brazilian Real(R$),No,No,No,No,4,12,150,4.1
6601515,Rovereto,30,Bras?lia,Rua 13 Norte| Lote 4| ?guas Claras| Bras?lia,?guas Claras,?guas Claras| Bras?lia,Pizza,Brazilian Real(R$),No,No,No,No,4,9,100,3.1
6601361,Buena Carne,30,Bras?lia,Avenida Arauc?rias| 1325| Loja 19| ?guas Claras| Bras?lia,?guas Claras,?guas Claras| Bras?lia,Bar Food| Brazilian,Brazilian Real(R$),No,No,No,No,3,9,60,3.6
6601602,Taco Pep,30,Bras?lia,Vila Malls| Avenida das Castanheiras| Lote 1060| ?guas Claras| Bras?lia,?guas Claras,?guas Claras| Bras?lia,Mexican| Grill,Brazilian Real(R$),No,No,No,No,4,29,100,4.3
6601589,Coco Bambu,30,Bras?lia,Bras?lia Shopping - Piso 2| SCN 5| Bloco A| Asa Norte| Bras?lia,Bras?lia Shopping| Asa Norte,Bras?lia Shopping| Asa Norte| Bras?lia,International,Brazilian Real(R$),No,No,No,No,4,17,230,4.2
6601862,Tayp?,30,Bras?lia,Fashion Park| Shis Ql 17| Bloco G| Loja 208| Lago Sul| Bras?lia,Lago Sul,Lago Sul| Bras?lia,Peruvian| Latin American,Brazilian Real(R$),No,No,No,No,4,5,100,3.6
6601595,Outback Steakhouse,30,Bras?lia,ParkShopping - Piso 2| SAI/SO| ?rea 6580| Guar? I| Bras?lia,ParkShopping| Guar? I,ParkShopping| Guar? I| Bras?lia,American| Grill,Brazilian Real(R$),No,No,No,No,4,10,150,4
6601158,Manzu?,30,Bras?lia,Pont?o Lago Sul| SHIS 10| Lote 9| Lago Sul| Bras?lia,Pont?o Lago Sul| Lago Sul,Pont?o Lago Sul| Lago Sul| Bras?lia,Seafood,Brazilian Real(R$),No,No,No,No,4,6,240,3.2
6600427,Coco Bambu,30,Bras?lia,SCES| Trecho 2| Conjunto 13/36| Setor de Clubes Esportivos Sul| Bras?lia,Setor De Clubes Esportivos Sul,Setor De Clubes Esportivos Sul| Bras?lia,International,Brazilian Real(R$),No,No,No,No,4,30,230,4.9
6600116,Gero,30,Bras?lia,Shopping Iguatemi - piso 1| SHIN CA 4| Lote A| Lago Norte| Bras?lia,Shopping Iguatemi| Lago Norte,Shopping Iguatemi| Lago Norte| Bras?lia,Italian,Brazilian Real(R$),No,No,No,No,4,8,350,3.3
6601457,Brazilian American Burgers,30,Bras?lia,CLSN 301| Bloco C| Loja 86| Sudoeste| Bras?lia,Sudoeste,Sudoeste| Bras?lia,American| Burger,Brazilian Real(R$),No,No,No,No,2,9,50,3.6
7303219,Pesqueiro Eco Gourmet,30,Rio de Janeiro,Praia da Barra da Tijuca| Avenida L?cio Costa| Ilha 25| Barra da Tijuca| Rio de Janeiro,Barra da Tijuca,Barra da Tijuca| Rio de Janeiro,Seafood| Bar Food| Brazilian,Brazilian Real(R$),No,No,No,No,4,7,140,4
7304307,Confeitaria Colombo,30,Rio de Janeiro,Rua Gon?alves Dias| 32| Centro| Rio de Janeiro,Centro,Centro| Rio de Janeiro,Desserts| Cafe,Brazilian Real(R$),No,No,No,No,4,29,100,4.8
7301215,Bibi,30,Rio de Janeiro,Rua Santa Clara| 36| Copabana| Rio de Janeiro,Copacabana,Copacabana| Rio de Janeiro,Juices| Healthy Food,Brazilian Real(R$),No,No,No,No,3,24,60,4.7
7300596,Cervantes,30,Rio de Janeiro,Avenida Prado Junior| 335 B| Copacabana| Rio de Janeiro,Copacabana,Copacabana| Rio de Janeiro,Beverages| Bar Food| Fast Food,Brazilian Real(R$),No,No,No,No,3,29,90,4.5
7300612,Amir,30,Rio de Janeiro,Rua Ronald de Carvalho| 55| Copacabana| Rio de Janeiro,Copacabana,Copacabana| Rio de Janeiro,Lebanese,Brazilian Real(R$),No,No,No,No,4,11,170,4.2
7300704,TT Burger,30,Rio de Janeiro,Galeria River| Rua Francisco Otaviano| 67| Copacabana| Rio de Janeiro,Galeria River| Copacabana,Galeria River| Copacabana| Rio de Janeiro,Burger,Brazilian Real(R$),No,No,No,No,3,19,60,4.8
7300955,Braseiro da G?vea,30,Rio de Janeiro,Pra?a Santos Dumont| 116| G?vea| Rio de Janeiro,G?vea,G?vea| Rio de Janeiro,Brazilian| Bar Food,Brazilian Real(R$),No,No,No,No,4,40,100,4.9
7300521,Balada Mix,30,Rio de Janeiro,Rua An?bal de Mendon?a| 37| Ipanema| Rio de Janeiro,Ipanema,Ipanema| Rio de Janeiro,Brazilian| Healthy Food| Juices| Pizza,Brazilian Real(R$),No,No,No,No,3,21,90,4.6
7300515,Garota de Ipanema,30,Rio de Janeiro,Rua Vinicius de Moraes| 49| Ipanema| Rio de Janeiro,Ipanema,Ipanema| Rio de Janeiro,Brazilian| Bar Food,Brazilian Real(R$),No,No,No,No,4,49,120,4.9
7300483,Zaz? Bistr? Tropical,30,Rio de Janeiro,Rua Joana Ang?lica| 40| Ipanema| Rio de Janeiro,Ipanema,Ipanema| Rio de Janeiro,Brazilian,Brazilian Real(R$),No,No,No,No,4,21,170,4.6
7301064,Fil? de Ouro,30,Rio de Janeiro,Rua Jardim Bot?nico| 731| Jardim Bot?nico| Lagoa| Rio de Janeiro,Lagoa,Lagoa| Rio de Janeiro,Brazilian,Brazilian Real(R$),No,No,No,No,3,14,90,4.3
7304312,D.O.C Ristorante,30,Rio de Janeiro,Le Monde| Bloco 3| Lojas A/B| Avenida das Am?ricas| 3500| Barra da Tijuca| Rio de Janeiro,Le Monde| Barra da Tijuca,Le Monde| Barra da Tijuca| Rio de Janeiro,Italian,Brazilian Real(R$),No,No,No,No,4,5,150,4
7300004,Sushi Leblon,30,Rio de Janeiro,Rua Dias Ferreira| 256| Leblon| Rio de Janeiro,Leblon,Leblon| Rio de Janeiro,Japanese,Brazilian Real(R$),No,No,No,No,4,25,250,4.6
7300868,Talho Capixaba,30,Rio de Janeiro,Avenida Ataulfo de Paiva| 1022| Lojas A e B| Leblon| Rio de Janeiro,Leblon,Leblon| Rio de Janeiro,Bakery| Sandwich| Brazilian,Brazilian Real(R$),No,No,No,No,4,13,120,4.4
7302637,Leme Light,30,Rio de Janeiro,Rua Gustavo Sampaio| 798| Leme| Rio de Janeiro,Leme,Leme| Rio de Janeiro,Brazilian,Brazilian Real(R$),No,No,No,No,2,7,40,4.2
7302140,Shirley,30,Rio de Janeiro,Rua Gustavo Sampaio| 610| Leme| Rio de Janeiro,Leme,Leme| Rio de Janeiro,Brazilian| Seafood,Brazilian Real(R$),No,No,No,No,4,8,250,4.2
7305048,Quiosque Chopp Brahma,30,Rio de Janeiro,Madureira Shopping - Loja 289/290| Piso 2| Estrada do Portela| 222| Madureira| Rio de Janeiro| RJ,Madureira,Madureira| Rio de Janeiro,Bar Food| Brazilian,Brazilian Real(R$),No,No,No,No,3,1,70,1
7302898,Apraz?vel,30,Rio de Janeiro,Rua Apraz?vel| 62| Santa Teresa| Rio de Janeiro,Santa Teresa,Santa Teresa| Rio de Janeiro,Brazilian,Brazilian Real(R$),No,No,No,No,4,44,300,4.7
7302859,Aconchego Carioca,30,Rio de Janeiro,Rua Bar?o de Iguatemi| 379| Tijuca| Rio de Janeiro,Tijuca,Tijuca| Rio de Janeiro,Brazilian| Bar Food,Brazilian Real(R$),No,No,No,No,3,24,85,4.6
7301700,Garota de Ipanema,30,Rio de Janeiro,Avenida Jo?o Alves| 56| Urca| Rio de Janeiro,Urca,Urca| Rio de Janeiro,Brazilian| Bar Food,Brazilian Real(R$),No,No,No,No,3,10,80,4.3
6706313,Cantina Famiglia Mancini,30,S?o Paulo,Rua Avanhandava| 81| Bela Vista| S?o Paulo 10000,Bela Vista| Centro,Bela Vista| Centro| S?o Paulo,Italian| Pizza,Brazilian Real(R$),No,No,No,No,4,49,250,4.5
6704326,Templo da Carne - Marcos Bassi,30,S?o Paulo,Rua Treze de Maio| 668| Bela Vista| S?o Paulo 01327000,Bela Vista| Centro,Bela Vista| Centro| S?o Paulo,Steak| BBQ,Brazilian Real(R$),No,No,No,No,4,17,250,4.4
6711179,Gopala Hari,30,S?o Paulo,Rua Antonio Carlos| 429| Consola??o| S?o Paulo,Consola??o,Consola??o| S?o Paulo,Indian,Brazilian Real(R$),No,No,No,No,3,5,70,3.1
6702797,Jiquitaia,30,S?o Paulo,Rua Ant?nio Carlos| 268| Consola??o| S?o Paulo,Consola??o,Consola??o| S?o Paulo,Brazilian,Brazilian Real(R$),No,No,No,No,4,15,100,4.1
6700475,Skye - Hotel Unique,30,S?o Paulo,Hotel Unique| Avenida Brigadeiro Lu?s Ant?nio| 4700| Jardim Paulista| S?o Paulo,Hotel Unique| Jardim Paulista,Hotel Unique| Jardim Paulista| S?o Paulo,Beverages| International,Brazilian Real(R$),No,No,No,No,4,59,300,4.8
6713413,Les 3 Brasseurs,30,S?o Paulo,Rua Jesu?no Arruda| 470| Itaim Bibi| S?o Paulo,Itaim Bibi,Itaim Bibi| S?o Paulo,French| Brazilian| Beverages,Brazilian Real(R$),No,No,No,No,4,30,120,4.6
6714340,Red Steak & Burger,30,S?o Paulo,Rua Tabapu?| 1417| Itaim Bibi| S?o Paulo,Itaim Bibi,Itaim Bibi| S?o Paulo,Brazilian| Grill,Brazilian Real(R$),No,No,No,No,3,5,75,3.9
6710645,Cantinho da Gula,30,S?o Paulo,Rua Pedroso Alvarenga| 522| Itaim Bibi| S?o Paulo| SP,Itaim Bibi,Itaim Bibi| S?o Paulo,Brazilian,Brazilian Real(R$),No,No,No,No,2,0,55,1
6700402,Paris 6 Classique,30,S?o Paulo,Rua Haddock Lobo| 1240| Cerqueira C?sar| Jardim Paulista| S?o Paulo,Jardim Paulista,Jardim Paulista| S?o Paulo,French,Brazilian Real(R$),No,No,No,No,4,73,200,3.4
6700846,Kawa Sushi,30,S?o Paulo,Alameda Lorena| 300| Jardim Paulista| S?o Paulo,Jardim Paulista,Jardim Paulista| S?o Paulo,Sushi| Japanese,Brazilian Real(R$),No,No,No,No,4,9,120,3.5
6702159,A Figueira Rubaiyat,30,S?o Paulo,Rua Haddock Lobo| 1738| Cerqueira C?sar| Jardim Paulista| S?o Paulo 10000,Jardim Paulista,Jardim Paulista| S?o Paulo,BBQ| Grill| Brazilian,Brazilian Real(R$),No,No,No,No,4,39,300,4.3
6711666,Kinoshita,30,S?o Paulo,Rua Jacques F?lix| 405| Vila Nova Concei??o| Moema| S?o Paulo,Moema,Moema| S?o Paulo,Sushi,Brazilian Real(R$),No,No,No,No,4,12,230,3.9
6701257,Meats,30,S?o Paulo,Rua dos Pinheiros| 320| Pinheiros| S?o Paulo,Pinheiros,Pinheiros| S?o Paulo,Gourmet Fast Food| Burger,Brazilian Real(R$),No,No,No,No,4,68,120,4.3
6706211,Paribar,30,S?o Paulo,Pra?a Dom Jos? Gaspar| 42| Rep?blica| S?o Paulo 10000,Rep?blica,Rep?blica| S?o Paulo,Brazilian| Italian,Brazilian Real(R$),No,No,No,No,4,46,150,4.3
6705858,Terra?o It?lia,30,S?o Paulo,Edif?cio It?lia - 41? Andar| Avenida Ipiranga| 344| Rep?blica| S?o Paulo,Rep?blica,Rep?blica| S?o Paulo,Italian,Brazilian Real(R$),No,No,No,No,4,37,400,4.4
6701419,Divino Fog?o,30,S?o Paulo,Shopping Metr? Santa Cruz - Piso L2| Rua Domingos de Morais| 2564| Vila Mariana| S?o Paulo,Shopping Metr? Santa Cruz| Vila Mariana,Shopping Metr? Santa Cruz| Vila Mariana| S?o Paulo,Brazilian| Mineira,Brazilian Real(R$),No,No,No,No,3,2,65,1
6703956,Super Grill,30,S?o Paulo,Shopping Morumbi - Piso Lazer| Avenida Roque Petroni J?nior| 1089| Santo Amaro| S?o Paulo,Shopping Morumbi| Santo Amaro,Shopping Morumbi| Santo Amaro| S?o Paulo,Brazilian,Brazilian Real(R$),No,No,No,No,2,2,50,1
6709580,Esquina Mocot?,30,S?o Paulo,Avenida Nossa Senhora do Loreto| 1104| Vila Medeiros| Vila Maria| S?o Paulo,Vila Maria,Vila Maria| S?o Paulo,Brazilian| North Eastern,Brazilian Real(R$),No,No,No,No,4,22,100,4.4
6703176,Veloso,30,S?o Paulo,Rua Concei??o Veloso| 56| Vila Mariana| S?o Paulo,Vila Mariana,Vila Mariana| S?o Paulo,Brazilian| Bar Food| Beverages,Brazilian Real(R$),No,No,No,No,3,58,70,4.6
6713772,Sainte Marie Gastronomia,30,S?o Paulo,Rua Dom Jo?o Batista da Costa| 70| Vila S?nia| S?o Paulo,Vila S?nia,Vila S?nia| S?o Paulo,Lebanese| Arabian,Brazilian Real(R$),No,No,No,No,4,11,120,4.1
17284404,Austin's BBQ and Oyster Bar,216,Albany,2820 Meredyth Dr| Albany| GA 31707,Albany,Albany| Albany,BBQ| Burger| Seafood,Dollar($),No,No,No,No,2,35,25,3.3
17284203,BJ's Country Buffet,216,Albany,2401 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,American| BBQ,Dollar($),No,No,No,No,1,25,10,3.3
17284105,Cookie Shoppe,216,Albany,115 N Jackson St| Albany| GA 31701,Albany,Albany| Albany,,Dollar($),No,No,No,No,1,34,0,3.4
17284302,El Vaquero Mexican Restaurant,216,Albany,2700 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,Mexican,Dollar($),No,No,No,No,1,45,0,3.4
17284397,Elements Coffee Co - Northwest,216,Albany,2726 Ledo Rd Ste 10| Albany| GA 31707,Albany,Albany| Albany,Coffee and Tea| Sandwich,Dollar($),No,No,No,No,1,26,10,3.4
17284211,Pearly's Famous Country Cookng,216,Albany,814 N Slappey Blvd| Albany| GA 31701,Albany,Albany| Albany,,Dollar($),No,No,No,No,1,36,0,3.4
17284094,Chick-fil-A,216,Albany,2703 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,Fast Food,Dollar($),No,No,No,No,1,67,10,3.5
17284409,Guang Zhou Chinese Restaurant,216,Albany,1214 N Westover Blvd| Albany| GA 31707,Albany,Albany| Albany,Asian| Chinese| Vegetarian,Dollar($),No,No,No,No,1,141,10,3.9
17284139,Harvest Moon,216,Albany,2347 Dawson Road| Albany| GA 31707,Albany,Albany| Albany,Pizza| Bar Food| Sandwich,Dollar($),No,No,No,No,2,147,25,3.7
17284403,Henry Campbell's Steakhouse,216,Albany,629 N. Westover Blvd| Albany| GA 31707,Albany,Albany| Albany,Steak| Tapas| Bar Food,Dollar($),No,No,No,No,4,51,70,3.5
17284145,Hong Kong Cafe,216,Albany,2700 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,Chinese| Seafood| Vegetarian,Dollar($),No,No,No,No,2,88,25,3.6
17284150,House of China Restaurant II,216,Albany,2526 Dawson Rd Ste A| Albany| GA 31707,Albany,Albany| Albany,Chinese,Dollar($),No,No,No,No,1,153,10,3.8
17284158,Jimmie's Hot Dogs,216,Albany,204 S Jackson St| Albany| GA 31701,Albany,Albany| Albany,,Dollar($),No,No,No,No,1,160,10,3.9
17284175,Locos Grill & Pub,216,Albany,547 N Westover Blvd| Albany| GA 31707,Albany,Albany| Albany,American| Burger| Sandwich,Dollar($),No,No,No,No,2,57,25,3.5
17284179,Longhorn Steakhouse,216,Albany,2733 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,American| Steak,Dollar($),No,No,No,No,2,58,25,3.5
17284197,Mikata Japanese Steakhouse,216,Albany,2610 Dawson Rd| Albany| GA 31707,Albany,Albany| Albany,Japanese| Steak| Sushi,Dollar($),No,No,No,No,3,115,40,3.6
17284241,Shogun Japanese Steak House,216,Albany,629 N Westover Blvd| Albany| GA 31707,Albany,Albany| Albany,Japanese| Steak| Sushi,Dollar($),No,No,No,No,3,51,40,3.5
17284390,The Catch Seafood Room & Oyster Bar,216,Albany,2332 Whispering Pines Road| Albany| GA 31707,Albany,Albany| Albany,Seafood| Tapas| Bar Food,Dollar($),No,No,No,No,3,250,40,3.8
17284279,Villa Gargano,216,Albany,1604 N Slappey Blvd| Albany| GA 31701,Albany,Albany| Albany,Italian| Pizza,Dollar($),No,No,No,No,1,117,10,3.7
17284364,3 Squares Diner,216,Albany,202 W Franklin St| Sylvester| GA 31791,Sylvester,Sylvester| Albany,American| Breakfast| Diner,Dollar($),No,No,No,No,1,20,10,3.4
16611114,Whitebull Hotel,14,Armidale,117 Marsh St| Armidale| NSW,Armidale,Armidale| Armidale,Bar Food| Steak,Dollar($),No,No,No,No,2,25,20,3.5
17293281,Last Resort Grill,216,Athens,184 W Clayton St| Athens| GA 30601,Athens,Athens| Athens,American| Southern| Southwestern,Dollar($),No,No,No,No,3,1821,40,4.5
17293301,Mama's Boy Restaurant,216,Athens,197 Oak St| GA 30601,Athens,Athens| Athens,Southern,Dollar($),No,No,No,No,1,849,10,4.5
17293409,Sr. Sol 1,216,Athens,175 Tallassee Rd| Athens| GA 30606,Athens,Athens| Athens,Mexican,Dollar($),No,No,No,No,1,917,10,4.6
17293163,Choo Choo Eastside,216,Athens,1055 Gaines School Rd Ste 100| Athens| GA 30605,Athens,Athens| Athens,Japanese| Korean,Dollar($),No,No,No,No,1,439,10,3.9
17293228,The Grill,216,Athens,171 College Ave| Athens| GA 30601,Athens,Athens| Athens,Breakfast| Burger| Sandwich,Dollar($),No,No,No,No,1,289,10,3.7
17293880,Big City Bread Cafe,216,Athens,393 N Finley St| Athens| GA 30601,Athens,Athens| Athens,Breakfast| Sandwich,Dollar($),No,No,No,No,1,558,10,4.3
17293169,Clocked,216,Athens,259 W Washington St| Athens| GA 30601,Athens,Athens| Athens,American| Burger| Sandwich,Dollar($),No,No,No,No,1,613,10,4.2
17293186,DePalma's Italian Cafe - Downtown,216,Athens,401 E Broad St| Athens| GA 30601,Athens,Athens| Athens,American| Italian| Pizza,Dollar($),No,No,No,No,2,353,25,4
17293180,DePalma's Italian Cafe - East Side,216,Athens,1965 Barnett Shoals Rd| Athens| GA 30605,Athens,Athens| Athens,American| Italian| Pizza,Dollar($),No,No,No,No,2,387,25,4.1
17293205,Five & Ten,216,Athens,1073 South Milledge Ave| Athens| GA 30605,Athens,Athens| Athens,American,Dollar($),No,No,No,No,3,755,40,4.3
17293229,Grit,216,Athens,199 Prince Ave| Athens| GA 30601,Athens,Athens| Athens,International| Southern| Vegetarian,Dollar($),No,No,No,No,1,800,10,4.2
17293897,Ike & Jane,216,Athens,1307 Prince Ave| Athens| GA 30606,Athens,Athens| Athens,Sandwich,Dollar($),No,No,No,No,1,350,10,4.1
17293273,La Dolce Vita Ristorante,216,Athens,323 E Broad St| Athens| GA 30601,Athens,Athens| Athens,Italian,Dollar($),No,No,No,No,3,464,40,4.1
17293870,Shokitini,216,Athens,251 W Clayton St| Athens| GA 30601,Athens,Athens| Athens,Asian| Japanese| Sushi,Dollar($),No,No,No,No,2,550,25,4.2
17293877,Taqueria Del Sol,216,Athens,334 Prince Ave| Athens| GA 30601,Athens,Athens| Athens,Mexican| Spanish,Dollar($),No,No,No,No,1,543,10,4.1
